Language,LanguageCodeLocale
Arabic (Iraq),ar-IQ
Arabic (Israel),ar-IL
Arabic (Jordan),ar-JO
Arabic (Kuwait),ar-KW
Arabic (Lebanon),ar-LB
Arabic (Oman),ar-OM
Arabic (Palestinian Authority),ar-PS
Arabic (Qatar),ar-QA
Arabic (Saudi Arabia),ar-SA
Arabic (United Arab Emirates),ar-AE
Arabic Egypt,ar-EG
Arabic Modern Standard (Bahrain),ar-BH
Arabic Syrian Arab Republic,ar-SY
Chinese (Cantonese Traditional),zh-HK
Chinese (Simplified),zh-Hans
Czech,cs-CZ
Danish,da-DK
Dutch,nl-NL
English Australia,en-AU
English United Kingdom,en-GB
English United States,en-US
Finnish,fi-FI
French,fr-FR
French (Canada),fr-CA
German,de-DE
Hebrew,he-IL
Hindi,hi-IN
Italian,it-IT
Japanese,ja-JP
Korean,ko-KR
Norwegian,nb-NO
Persian,fa-IR
Polish,pl-PL
Portuguese,pt-BR
Portuguese (Portugal),pt-PT
Russian,ru-RU
Spanish,es-ES
Spanish (Mexico),es-MX
Swedish,sv-SE
Thai,th-TH
Turkish,tr-TR